# system = O-pp
# path = examples/ppotential_HF/O/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 6
# approximate DTVMC = 1.83364e-02
# optimized DTVMC = 2.73647e-02
# kinetic energy = 11.64736 +/- 0.07164
# kinetic energy KEI = 11.49726 +/- 0.00729
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 2.36520e-04     0.95    0.94668     1.10993   1.08261   0.00075   0.99988   163.208
 9.49823e-04     0.90    0.89498     1.12678   1.13158   0.00686   1.00077   117.068
 2.15133e-03     0.85    0.84275     1.12845   1.19525   0.02187   0.99974    56.662
 3.86075e-03     0.80    0.79041     1.12836   1.23641   0.04803   1.00552    36.189
 6.10714e-03     0.75    0.73927     1.13326   1.26671   0.08811   0.99907    25.525
 8.93066e-03     0.70    0.69004     1.14372   1.23505   0.12872   1.00036    17.192
 1.23850e-02     0.65    0.64016     1.14899   1.23872   0.18820   0.99472    12.983
 1.65411e-02     0.60    0.59139     1.15634   1.23000   0.25979   1.00415    10.088
 2.14928e-02     0.55    0.54498     1.16898   1.19747   0.33314   1.00102     8.309
 2.73647e-02     0.50    0.49927     1.18170   1.16591   0.41658   0.99541     6.628
 3.43250e-02     0.45    0.45245     1.19015   1.13612   0.50752   0.99020     5.233
 4.26062e-02     0.40    0.40900     1.20661   1.09029   0.59870   1.02506     4.331
 5.25389e-02     0.35    0.36545     1.22239   1.04093   0.68609   0.99191     3.590
 6.46133e-02     0.30    0.32288     1.24104   0.99069   0.78423   0.98481     2.936
 7.95974e-02     0.25    0.27938     1.25882   0.94450   0.89630   0.97915     2.448
 9.87897e-02     0.20    0.23539     1.27845   0.88923   0.99521   0.97363     1.907
 1.24647e-01     0.15    0.19389     1.31163   0.82619   1.11005   0.96004     1.532
 1.62740e-01     0.10    0.14847     1.34746   0.75625   1.22856   0.91009     1.101
 2.31066e-01     0.05    0.09822     1.40309   0.67196   1.39946   0.98274     0.744
