# system = O3-gto
# path = examples/gwfn/O3/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 24
# approximate DTVMC = 0.00104
# optimized DTVMC = 0.00109
# kinetic energy = 223.33805 +/- 0.17308
# kinetic energy KEI = 222.60894 +/- 0.15207
# dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.00001     0.95    0.94934     1.02135   0.98245  -0.00001   0.99994     8.312
   0.00004     0.90    0.89810     1.01552   1.00766   0.00065   1.00017    11.308
   0.00009     0.85    0.84646     1.01073   1.02540   0.00183   1.00018    10.178
   0.00015     0.80    0.79536     1.01088   1.03004   0.00356   0.99957     8.248
   0.00024     0.75    0.74468     1.01257   1.03386   0.00704   0.99911     5.949
   0.00036     0.70    0.69551     1.01883   1.02457   0.01209   1.00553     3.348
   0.00049     0.65    0.64692     1.02521   1.02106   0.02054   1.00039     3.002
   0.00066     0.60    0.59685     1.02602   1.02877   0.03262   1.00212     3.232
   0.00086     0.55    0.54643     1.02568   1.03346   0.04400   0.99752     2.453
   0.00109     0.50    0.49879     1.03197   1.02736   0.06160   0.99831     2.217
   0.00137     0.45    0.45011     1.03513   1.02852   0.08496   0.99931     1.917
   0.00170     0.40    0.40360     1.04282   1.01741   0.11077   1.00362     1.592
   0.00209     0.35    0.35515     1.04602   1.02291   0.15602   0.99882     1.506
   0.00258     0.30    0.30839     1.05300   1.00856   0.18970   0.99275     1.256
   0.00317     0.25    0.26317     1.06393   1.00423   0.26439   1.01304     1.136
   0.00394     0.20    0.21635     1.07276   0.99511   0.34828   0.97820     1.013
   0.00497     0.15    0.17029     1.08640   0.97352   0.44515   0.97651     0.796
   0.00649     0.10    0.12261     1.10253   0.95095   0.59405   0.89097     0.679
   0.00921     0.05    0.07358     1.13363   0.92515   0.96092   0.88649     0.539
