# system = O3-sto
# path = examples/stowfn/O3/HF/QZ4P/CBCS/Slater
# method = CBCS
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 24
# approximate DTVMC = 1.04110e-03
# optimized DTVMC = 1.07114e-03
# kinetic energy = 221.96676 +/- 0.26203
# kinetic energy KEI = 222.07062 +/- 0.14899
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 9.25813e-06     0.95    0.94918     1.00584   1.02168   0.00005   0.99998    24.011
 3.71790e-05     0.90    0.89885     1.01064   1.01608   0.00040   0.99990    12.075
 8.42097e-05     0.85    0.84835     1.01110   1.01875   0.00123   0.99980     6.231
 1.51122e-04     0.80    0.79812     1.01264   1.02703   0.00359   0.99970     8.337
 2.39052e-04     0.75    0.74870     1.01689   1.03613   0.00932   1.00079     6.152
 3.49574e-04     0.70    0.69831     1.01635   1.03596   0.01337   1.00063     4.016
 4.84787e-04     0.65    0.64765     1.01506   1.03919   0.01851   0.99827     3.387
 6.47471e-04     0.60    0.60033     1.02329   1.02886   0.02858   1.00021     2.865
 8.41295e-04     0.55    0.55173     1.02681   1.03157   0.04330   0.99984     2.501
 1.07114e-03     0.50    0.50390     1.03172   1.02779   0.06028   0.99984     2.161
 1.34359e-03     0.45    0.45476     1.03319   1.02670   0.07923   0.99610     1.854
 1.66774e-03     0.40    0.40909     1.04234   1.02063   0.10985   0.99642     1.615
 2.05653e-03     0.35    0.36022     1.04431   1.02243   0.14595   1.00478     1.498
 2.52917e-03     0.30    0.31458     1.05366   1.01388   0.19494   1.01728     1.272
 3.11569e-03     0.25    0.26698     1.05949   1.00642   0.25032   1.01076     1.151
 3.86693e-03     0.20    0.22067     1.06979   0.99367   0.32542   0.98409     0.995
 4.87907e-03     0.15    0.17469     1.08431   0.97841   0.43899   0.97831     0.849
 6.37014e-03     0.10    0.12580     1.09847   0.95790   0.58430   0.87661     0.703
 9.04463e-03     0.05    0.07567     1.12804   0.92223   0.87884   0.85662     0.514
