# system = Ar-gto
# path = examples/gwfn/Ar/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 18
# approximate DTVMC = 8.53145e-03
# optimized DTVMC = 4.87414e-02
# kinetic energy = 523.40196 +/- 1.05503
# kinetic energy KEI = 529.75446 +/- 0.44569
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 4.21285e-04     0.95    0.92080     1.57437   1.15573   0.01035   1.00317    91.222
 1.69181e-03     0.90    0.85066     1.66596   1.28405   0.08515   0.99737    39.427
 3.83190e-03     0.85    0.78964     1.76955   1.32918   0.25954   0.99948    22.979
 6.87668e-03     0.80    0.73633     1.87811   1.28883   0.51058   0.99603    16.086
 1.08779e-02     0.75    0.68976     1.99251   1.21655   0.82171   0.99890    12.619
 1.59071e-02     0.70    0.64757     2.10401   1.11820   1.14827   0.99395    10.082
 2.20599e-02     0.65    0.60884     2.21339   0.99727   1.44111   0.99272     8.234
 2.94627e-02     0.60    0.57450     2.33149   0.89632   1.75116   0.97040     6.847
 3.82826e-02     0.55    0.54142     2.44338   0.81018   2.07544   0.97884     5.748
 4.87414e-02     0.50    0.51141     2.56399   0.72956   2.39308   1.01777     4.828
 6.11390e-02     0.45    0.48174     2.68033   0.66456   2.74834   0.95235     4.105
 7.58893e-02     0.40    0.45390     2.80506   0.60371   3.11409   0.96141     3.410
 9.35812e-02     0.35    0.42688     2.93613   0.55490   3.56174   0.96626     2.899
 1.15088e-01     0.30    0.40110     3.08115   0.50347   3.99607   0.93005     2.380
 1.41777e-01     0.25    0.37437     3.23243   0.46013   4.53582   0.99178     2.009
 1.75962e-01     0.20    0.34781     3.40730   0.41413   5.09326   0.95388     1.583
 2.22019e-01     0.15    0.31953     3.60983   0.36742   5.72730   1.18658     1.233
 2.89869e-01     0.10    0.28765     3.86142   0.31510   6.41143   0.86205     0.878
 4.11570e-01     0.05    0.24797     4.23473   0.25981   7.56766   0.90271     0.646
