# system = Ar-sto
# path = examples/stowfn/Ar/HF/QZ4P/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 18
# approximate DTVMC = 8.53145e-03
# optimized DTVMC = 4.84861e-02
# kinetic energy = 525.82161 +/- 1.39387
# kinetic energy KEI = 530.75919 +/- 0.45168
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 4.19079e-04     0.95    0.92135     1.58492   1.16087   0.01078   1.00003    90.105
 1.68295e-03     0.90    0.85069     1.66580   1.27626   0.08389   0.99801    37.700
 3.81184e-03     0.85    0.78976     1.76998   1.31078   0.25271   1.00135    22.405
 6.84067e-03     0.80    0.73681     1.88103   1.30662   0.52132   0.99892    16.422
 1.08210e-02     0.75    0.69018     1.99472   1.21076   0.81451   1.01977    12.512
 1.58238e-02     0.70    0.64822     2.10745   1.10953   1.13586   0.97993    10.203
 2.19444e-02     0.65    0.60924     2.21515   1.00020   1.44523   1.05510     8.106
 2.93085e-02     0.60    0.57443     2.33034   0.89730   1.75325   0.98126     6.948
 3.80821e-02     0.55    0.54242     2.44866   0.80663   2.06305   1.05435     5.789
 4.84861e-02     0.50    0.51134     2.56276   0.72705   2.37675   0.97230     4.842
 6.08188e-02     0.45    0.48271     2.68541   0.66139   2.73300   0.98096     4.114
 7.54919e-02     0.40    0.45472     2.80930   0.60159   3.09721   0.99999     3.352
 9.30912e-02     0.35    0.42813     2.94315   0.54543   3.47628   0.97925     2.855
 1.14485e-01     0.30    0.40146     3.08251   0.49961   3.94946   0.95986     2.402
 1.41035e-01     0.25    0.37496     3.23543   0.45632   4.48182   0.95831     1.984
 1.75041e-01     0.20    0.34877     3.41304   0.41160   5.04972   1.64228     1.602
 2.20856e-01     0.15    0.31974     3.61025   0.36659   5.70859   1.16957     1.249
 2.88351e-01     0.10    0.28829     3.86533   0.32098   6.58855   1.00102     0.947
 4.09414e-01     0.05    0.24846     4.23774   0.25518   7.37073   1.22532     0.586
