# system = B-pp
# path = examples/ppotential_HF/B/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 3
# approximate DTVMC = 3.75654e-01
# optimized DTVMC = 8.54565e-01
# kinetic energy = 1.27894 +/- 0.00641
# kinetic energy KEI = 1.28239 +/- 0.00119
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 7.38624e-03     0.95    0.94399     1.12952   1.09096   0.00116   0.99987   199.655
 2.96618e-02     0.90    0.88853     1.13463   1.12632   0.00774   0.99954    75.640
 6.71834e-02     0.85    0.83455     1.14585   1.15404   0.02395   1.00009    49.368
 1.20566e-01     0.80    0.78208     1.15910   1.13420   0.04588   1.00439    32.538
 1.90719e-01     0.75    0.73136     1.17456   1.09312   0.07048   0.99811    20.865
 2.78894e-01     0.70    0.68129     1.18733   1.05868   0.10069   0.99857    13.349
 3.86768e-01     0.65    0.63430     1.20723   1.02252   0.13852   0.99854    10.538
 5.16560e-01     0.60    0.58791     1.22474   0.97607   0.16940   0.99714     7.284
 6.71194e-01     0.55    0.54337     1.24478   0.95134   0.22533   0.99854     6.098
 8.54565e-01     0.50    0.50034     1.26656   0.91316   0.27547   0.99728     4.574
 1.07193e+00     0.45    0.45931     1.29192   0.87981   0.33864   1.00576     3.712
 1.33054e+00     0.40    0.41866     1.31698   0.84927   0.41339   0.99518     2.847
 1.64073e+00     0.35    0.37765     1.34064   0.81989   0.50089   1.00368     2.352
 2.01780e+00     0.30    0.33854     1.37051   0.79045   0.60949   1.00055     1.944
 2.48573e+00     0.25    0.29999     1.40460   0.75235   0.71963   1.04561     1.423
 3.08508e+00     0.20    0.26129     1.44376   0.71867   0.87484   0.99193     1.075
 3.89257e+00     0.15    0.22133     1.48961   0.68511   1.09753   1.01466     0.814
 5.08217e+00     0.10    0.18071     1.55511   0.64400   1.42269   1.04189     0.603
 7.21590e+00     0.05    0.13332     1.65237   0.59734   2.06595   0.96757     0.460
