# system = B2H6-gto
# path = examples/gwfn/B2H6/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 16
# approximate DTVMC = 7.30065e-02
# optimized DTVMC = 2.60489e-01
# kinetic energy = 52.78613 +/- 0.04753
# kinetic energy KEI = 53.21231 +/- 0.04717
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 2.25148e-03     0.95    0.92808     1.35036   1.01324   0.00124   0.99983    19.097
 9.04155e-03     0.90    0.86148     1.39984   1.03364   0.01536   1.00064    15.594
 2.04789e-02     0.85    0.80039     1.45383   1.07741   0.06269   0.99910    12.016
 3.67512e-02     0.80    0.74676     1.52495   1.10458   0.15896   1.00200     9.460
 5.81351e-02     0.75    0.69820     1.59725   1.13711   0.32301   1.00057     7.731
 8.50126e-02     0.70    0.65331     1.66744   1.16435   0.56243   0.99116     6.730
 1.17895e-01     0.65    0.61358     1.74660   1.17713   0.88069   0.99442     6.078
 1.57458e-01     0.60    0.57569     1.82114   1.18823   1.29181   0.99361     5.349
 2.04594e-01     0.55    0.54026     1.89718   1.18638   1.78350   0.98816     4.826
 2.60489e-01     0.50    0.50530     1.96800   1.17726   2.36663   1.13837     4.352
 3.26746e-01     0.45    0.47243     2.04352   1.14820   3.00178   1.03532     3.893
 4.05576e-01     0.40    0.44095     2.12290   1.11149   3.71862   0.94841     3.588
 5.00128e-01     0.35    0.41008     2.20524   1.06093   4.47387   0.94307     3.233
 6.15067e-01     0.30    0.37877     2.28884   0.98740   5.18173   0.90133     2.933
 7.57703e-01     0.25    0.34708     2.37799   0.91904   6.00317   0.89603     2.558
 9.40398e-01     0.20    0.31428     2.47543   0.84487   6.90412   1.35820     2.268
 1.18654e+00     0.15    0.28051     2.59279   0.74388   7.64659   0.84835     1.947
 1.54915e+00     0.10    0.24233     2.73450   0.63590   8.45656   1.58509     1.626
 2.19956e+00     0.05    0.19509     2.94026   0.51168   9.50658   0.87910     1.275
