# system = Be-gto
# path = examples/gwfn/Be/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 4
# approximate DTVMC = 6.97551e-02
# optimized DTVMC = 2.12447e-01
# kinetic energy = 14.55627 +/- 0.00797
# kinetic energy KEI = 14.54927 +/- 0.01994
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.83624e-03     0.95    0.92751     1.27062   0.99988   0.00037   0.99988     8.850
 7.37400e-03     0.90    0.85914     1.30535   0.99527   0.00629   1.00002     7.225
 1.67020e-02     0.85    0.79697     1.35521   0.98682   0.02546   1.00036     4.830
 2.99731e-02     0.80    0.74067     1.41121   0.99347   0.07138   0.99895     4.939
 4.74131e-02     0.75    0.69170     1.48136   1.00108   0.15620   0.99894     4.295
 6.93337e-02     0.70    0.64672     1.54990   1.01661   0.29256   1.00513     3.598
 9.61516e-02     0.65    0.60619     1.62273   1.02412   0.47827   0.99328     2.990
 1.28418e-01     0.60    0.57040     1.70367   1.03980   0.74722   0.98584     2.628
 1.66861e-01     0.55    0.53878     1.79291   1.04843   1.09818   0.99214     2.265
 2.12447e-01     0.50    0.50900     1.88290   1.06263   1.55470   1.05564     1.978
 2.66484e-01     0.45    0.48219     1.98165   1.06229   2.09988   1.00370     1.629
 3.30775e-01     0.40    0.45702     2.08613   1.06474   2.78618   0.98075     1.355
 4.07889e-01     0.35    0.43319     2.19839   1.05950   3.60994   0.97406     1.142
 5.01629e-01     0.30    0.40914     2.31490   1.04591   4.57892   0.95521     0.873
 6.17959e-01     0.25    0.38641     2.44851   1.01938   5.71534   0.87450     0.640
 7.66959e-01     0.20    0.36334     2.59912   0.97893   7.04362   0.79977     0.449
 9.67703e-01     0.15    0.33772     2.76824   0.93086   8.70325   1.06253     0.184
 1.26344e+00     0.10    0.30944     2.98350   0.85350  10.69104   1.81012    -0.008
 1.79389e+00     0.05    0.27147     3.28581   0.74015  13.46544   0.78623    -0.260
