# system = Be-sto
# path = examples/stowfn/Be/HF/QZ4P/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 4
# approximate DTVMC = 6.97551e-02
# optimized DTVMC = 2.12045e-01
# kinetic energy = 14.45992 +/- 0.00738
# kinetic energy KEI = 14.51691 +/- 0.02096
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.83276e-03     0.95    0.92801     1.27411   0.98801   0.00052   1.00007     6.762
 7.36004e-03     0.90    0.85972     1.30524   0.99892   0.00665   1.00056     8.254
 1.66703e-02     0.85    0.79757     1.35348   0.98976   0.02585   1.00115     4.960
 2.99163e-02     0.80    0.74112     1.40776   0.99349   0.06941   0.99925     4.029
 4.73233e-02     0.75    0.69191     1.47611   0.99898   0.15096   0.99755     4.047
 6.92023e-02     0.70    0.64676     1.54352   1.01981   0.28664   0.99998     3.413
 9.59695e-02     0.65    0.60653     1.61732   1.03092   0.47770   0.99161     3.020
 1.28175e-01     0.60    0.57132     1.70048   1.04210   0.74389   1.00352     2.592
 1.66545e-01     0.55    0.53880     1.78534   1.05599   1.09677   0.99997     2.392
 2.12045e-01     0.50    0.50976     1.87827   1.06503   1.54324   0.96869     1.990
 2.65979e-01     0.45    0.48209     1.97273   1.07294   2.10495   0.98314     1.671
 3.30149e-01     0.40    0.45783     2.08100   1.06219   2.74794   1.02471     1.382
 4.07116e-01     0.35    0.43292     2.18774   1.06182   3.57488   0.93628     1.105
 5.00679e-01     0.30    0.40960     2.30731   1.04740   4.54173   0.95951     0.896
 6.16788e-01     0.25    0.38693     2.44071   1.01794   5.64635   0.96897     0.668
 7.65506e-01     0.20    0.36308     2.58662   0.98594   7.02987   0.87689     0.477
 9.65870e-01     0.15    0.33821     2.75925   0.94311   8.76953   0.80837     0.307
 1.26105e+00     0.10    0.30996     2.97395   0.87218  10.89270   0.90593     0.131
 1.79049e+00     0.05    0.27170     3.27338   0.77326  14.11718   0.76490    -0.047
