# system = Be2+-gto
# path = examples/gwfn/Be²⁺/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 2
# approximate DTVMC = 3.48775e-02
# optimized DTVMC = 4.32078e-02
# kinetic energy = 13.61287 +/- 0.00062
# kinetic energy KEI = 13.69730 +/- 0.02151
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 3.73457e-04     0.95    0.94324     1.00146   0.99735  -0.00002   0.99998     0.011
 1.49974e-03     0.90    0.88734     1.00860   0.98125  -0.00023   0.99975     0.003
 3.39687e-03     0.85    0.83261     1.01742   0.96448  -0.00042   0.99958    -0.000
 6.09598e-03     0.80    0.77987     1.03069   0.94042  -0.00040   0.99955    -0.003
 9.64296e-03     0.75    0.72863     1.04428   0.91672  -0.00038   0.99951     0.007
 1.41012e-02     0.70    0.67951     1.06051   0.89002   0.00010   1.00063     0.015
 1.95555e-02     0.65    0.63265     1.07940   0.86269   0.00186   1.00154     0.009
 2.61179e-02     0.60    0.58615     1.09522   0.83643   0.00001   0.99900     0.015
 3.39364e-02     0.55    0.54250     1.11599   0.80908   0.00288   1.00084     0.022
 4.32078e-02     0.50    0.49932     1.13526   0.78236   0.00349   1.00029     0.020
 5.41979e-02     0.45    0.45854     1.15877   0.75591   0.00943   1.00346     0.044
 6.72736e-02     0.40    0.41977     1.18610   0.72866   0.01905   0.99505     0.035
 8.29570e-02     0.35    0.37978     1.20993   0.70296   0.02574   0.99525     0.042
 1.02022e-01     0.30    0.34396     1.24528   0.67751   0.05765   1.01907     0.054
 1.25681e-01     0.25    0.30498     1.27509   0.65012   0.07550   1.00225     0.056
 1.55985e-01     0.20    0.26857     1.31709   0.62354   0.13173   1.02735     0.061
 1.96813e-01     0.15    0.23004     1.36373   0.59560   0.20833   0.96460     0.053
 2.56960e-01     0.10    0.18996     1.42693   0.56736   0.36843   1.00021     0.067
 3.64844e-01     0.05    0.14272     1.52047   0.52991   0.69064   0.93560     0.057
