# system = C-pp
# path = examples/ppotential_HF/C/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 4
# approximate DTVMC = 2.28349e-01
# optimized DTVMC = 4.92497e-01
# kinetic energy = 3.30685 +/- 0.02117
# kinetic energy KEI = 3.30392 +/- 0.00259
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 4.25679e-03     0.95    0.94330     1.17957   1.10506   0.00200   1.00001   277.294
 1.70945e-02     0.90    0.88681     1.18108   1.21507   0.01402   0.99966   113.031
 3.87187e-02     0.85    0.83274     1.19809   1.19175   0.03564   1.00208    53.815
 6.94840e-02     0.80    0.77962     1.21132   1.16653   0.06635   0.99927    33.393
 1.09914e-01     0.75    0.72850     1.22813   1.11148   0.10148   1.00129    22.605
 1.60730e-01     0.70    0.67881     1.24494   1.06927   0.14492   0.99874    15.808
 2.22900e-01     0.65    0.63284     1.27074   1.00444   0.18593   0.99723    11.765
 2.97700e-01     0.60    0.58673     1.29067   0.94555   0.22496   1.00169     8.889
 3.86818e-01     0.55    0.54373     1.31712   0.90020   0.27883   0.99131     7.008
 4.92497e-01     0.50    0.50137     1.34218   0.85417   0.33220   1.00122     5.395
 6.17766e-01     0.45    0.45996     1.36776   0.80720   0.38076   0.98785     4.280
 7.66808e-01     0.40    0.42164     1.40121   0.76245   0.44583   1.00414     3.542
 9.45572e-01     0.35    0.38146     1.42866   0.72482   0.51075   0.98234     2.762
 1.16288e+00     0.30    0.34393     1.46510   0.68410   0.58806   1.00983     2.288
 1.43256e+00     0.25    0.30568     1.50249   0.64330   0.66669   0.96875     1.738
 1.77797e+00     0.20    0.26834     1.54900   0.60623   0.78973   0.99520     1.357
 2.24334e+00     0.15    0.23026     1.60537   0.56487   0.93373   1.01433     0.992
 2.92892e+00     0.10    0.18998     1.67906   0.52314   1.16648   1.79703     0.717
 4.15862e+00     0.05    0.14237     1.78745   0.47493   1.61004   0.90587     0.490
