# system = C2H2-gto
# path = examples/gwfn/C2H2/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 14
# approximate step size = 0.36149
# optimized step size = 0.66445
# kinetic energy = 76.41892 +/- 0.20285
# kinetic energy KEI = 74.12403 +/- 0.19134
# step_size   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
   0.06177     0.95    0.92905     1.32339   1.00355   0.00095   1.00007    31.150
   0.12379     0.90    0.86047     1.34345   1.02183   0.00966   1.00043    12.112
   0.18630     0.85    0.79915     1.39676   1.06355   0.04639   1.00124    14.142
   0.24958     0.80    0.74559     1.46736   1.07436   0.11397   0.99855     8.487
   0.31390     0.75    0.69703     1.53802   1.07169   0.22883   0.99907     6.616
   0.37958     0.70    0.65052     1.59834   1.12784   0.43407   1.00087     5.173
   0.44701     0.65    0.61295     1.68565   1.11080   0.66949   1.00142     4.134
   0.51659     0.60    0.57570     1.76077   1.13497   1.02446   0.99700     3.282
   0.58886     0.55    0.54022     1.83405   1.14392   1.45354   0.98445     2.540
   0.66445     0.50    0.50574     1.90463   1.14445   1.97976   0.96944     2.436
   0.74417     0.45    0.47460     1.98537   1.14371   2.62272   0.99405     2.096
   0.82909     0.40    0.44572     2.07404   1.11542   3.31972   1.04871     1.845
   0.92067     0.35    0.41657     2.16188   1.07623   4.07944   0.85356     1.544
   1.02100     0.30    0.38672     2.25014   1.03316   4.95809   0.83703     1.473
   1.13322     0.25    0.35660     2.34499   0.95056   5.71131   0.91067     1.474
   1.26247     0.20    0.32399     2.44177   0.87628   6.61172   0.79914     1.238
   1.41810     0.15    0.29262     2.57051   0.75472   7.19588   0.81264     1.285
   1.62036     0.10    0.25401     2.70985   0.66170   8.27356   1.26350     1.182
   1.93078     0.05    0.20740     2.92141   0.54494   9.68365   0.92378     1.037
