# system = C6H6-gto
# path = examples/gwfn/C6H6/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 42
# approximate DTVMC = 4.23245e-02
# optimized DTVMC = 1.71148e-01
# kinetic energy = 230.84517 +/- 0.30725
# kinetic energy KEI = 230.02343 +/- 0.12071
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.47927e-03     0.95    0.92607     1.37421   1.02652   0.00190   0.99997    31.005
 5.94050e-03     0.90    0.85792     1.42745   1.03122   0.01730   0.99954    15.354
 1.34551e-02     0.85    0.79699     1.49501   1.08256   0.07247   0.99892    12.774
 2.41464e-02     0.80    0.74153     1.56206   1.12235   0.18426   1.00202     9.897
 3.81961e-02     0.75    0.69334     1.64323   1.15587   0.36999   0.99990     7.892
 5.58553e-02     0.70    0.64962     1.72486   1.17610   0.63605   1.00231     6.499
 7.74598e-02     0.65    0.61016     1.80991   1.18565   0.98647   1.01799     5.555
 1.03454e-01     0.60    0.57372     1.89555   1.19050   1.43311   0.99302     4.752
 1.34423e-01     0.55    0.53989     1.98311   1.17597   1.95161   0.97295     4.204
 1.71148e-01     0.50    0.50853     2.07469   1.14313   2.52585   0.96832     3.630
 2.14680e-01     0.45    0.47741     2.16223   1.10929   3.18535   0.96751     3.186
 2.66473e-01     0.40    0.44833     2.25731   1.05238   3.84729   0.91883     2.906
 3.28595e-01     0.35    0.41931     2.35331   0.99654   4.59220   0.93397     2.560
 4.04113e-01     0.30    0.39026     2.45322   0.93143   5.36150   0.97074     2.297
 4.97828e-01     0.25    0.36008     2.55607   0.85075   6.08102   0.98065     2.034
 6.17863e-01     0.20    0.33013     2.67611   0.76733   6.84953   0.96594     1.816
 7.79583e-01     0.15    0.29877     2.81734   0.67704   7.64235   0.85720     1.592
 1.01783e+00     0.10    0.26300     2.98835   0.57293   8.39477   0.81663     1.363
 1.44516e+00     0.05    0.21816     3.23664   0.45321   9.29949   0.81538     1.099
