# system = CH4-gto
# path = examples/gwfn/CH4/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 6.18712e-02
# optimized DTVMC = 2.46477e-01
# kinetic energy = 40.14089 +/- 0.03825
# kinetic energy KEI = 40.54815 +/- 0.04665
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 2.13037e-03     0.95    0.92585     1.40515   1.04467   0.00237   0.99986    29.162
 8.55519e-03     0.90    0.85874     1.47251   1.07732   0.02587   0.99932    21.561
 1.93773e-02     0.85    0.79958     1.55348   1.11745   0.09783   0.99999    15.547
 3.47743e-02     0.80    0.74581     1.62989   1.18033   0.24747   0.99994    11.943
 5.50079e-02     0.75    0.69774     1.71108   1.21316   0.47599   0.99973     9.758
 8.04397e-02     0.70    0.65438     1.79503   1.23662   0.80256   0.99430     8.354
 1.11553e-01     0.65    0.61355     1.87392   1.23178   1.19961   1.00641     7.275
 1.48988e-01     0.60    0.57555     1.95332   1.22206   1.68982   1.45919     6.500
 1.93589e-01     0.55    0.54027     2.03566   1.18935   2.23067   0.97469     5.859
 2.46477e-01     0.50    0.50545     2.11232   1.13904   2.80066   0.96514     5.325
 3.09170e-01     0.45    0.47229     2.19194   1.08077   3.40902   0.94648     4.850
 3.83760e-01     0.40    0.43956     2.27088   1.01574   4.03935   0.95287     4.375
 4.73225e-01     0.35    0.40770     2.35417   0.93384   4.61400   1.01563     4.008
 5.81981e-01     0.30    0.37555     2.43933   0.86250   5.27832   1.01947     3.630
 7.16945e-01     0.25    0.34305     2.53031   0.77495   5.83259   0.90195     3.323
 8.89812e-01     0.20    0.30964     2.63072   0.68631   6.37392   0.93289     3.033
 1.12271e+00     0.15    0.27390     2.74393   0.59189   6.83590   0.94552     2.676
 1.46582e+00     0.10    0.23614     2.89563   0.49871   7.39612   0.94688     2.355
 2.08124e+00     0.05    0.18699     3.09780   0.40183   8.26509   0.98749     1.913
