# system = F-pp
# path = examples/ppotential_HF/F/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 7
# approximate DTVMC = 8.27658e-02
# optimized DTVMC = 1.67401e-01
# kinetic energy = 18.57831 +/- 0.23943
# kinetic energy KEI = 18.52679 +/- 0.01114
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.44690e-03     0.95    0.94254     1.21597   1.12585   0.00249   0.99985   263.716
 5.81048e-03     0.90    0.88624     1.22752   1.19809   0.01691   1.00008   112.694
 1.31606e-02     0.85    0.82978     1.22939   1.24615   0.04754   0.99952    57.958
 2.36179e-02     0.80    0.77652     1.24733   1.19329   0.08529   0.99953    34.278
 3.73600e-02     0.75    0.72546     1.26812   1.13705   0.13296   0.99861    23.576
 5.46327e-02     0.70    0.67583     1.28783   1.06449   0.17812   0.99649    16.761
 7.57644e-02     0.65    0.62930     1.31374   0.99204   0.22673   0.99926    12.553
 1.01189e-01     0.60    0.58437     1.33981   0.92354   0.27261   0.99818     9.312
 1.31481e-01     0.55    0.54087     1.36618   0.86673   0.32596   1.00020     7.528
 1.67401e-01     0.50    0.50009     1.39785   0.80239   0.36980   1.00828     6.111
 2.09981e-01     0.45    0.46061     1.43084   0.75330   0.42826   0.99399     5.213
 2.60641e-01     0.40    0.42161     1.46363   0.70248   0.47617   0.99839     3.998
 3.21403e-01     0.35    0.38387     1.49996   0.65766   0.53718   0.99229     3.408
 3.95268e-01     0.30    0.34809     1.54372   0.60944   0.59085   0.99228     2.736
 4.86932e-01     0.25    0.31117     1.58741   0.56551   0.64825   0.98590     2.174
 6.04339e-01     0.20    0.27441     1.63870   0.51936   0.70532   0.99971     1.815
 7.62519e-01     0.15    0.23929     1.70963   0.47276   0.79195   0.99147     1.404
 9.95550e-01     0.10    0.19899     1.78974   0.42435   0.89052   1.02631     1.105
 1.41353e+00     0.05    0.15258     1.91485   0.36654   1.05500   1.00274     0.730
