# system = H-pp
# path = examples/ppotential_HF/H/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 1
# approximate DTVMC = 4.96802e-01
# optimized DTVMC = 5.71254e-01
# kinetic energy = 0.49860 +/- 0.00003
# kinetic energy KEI = 0.49163 +/- 0.00088
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 4.93751e-03     0.95    0.94423     1.00308   0.99318  -0.00005   0.99995    -0.002
 1.98281e-02     0.90    0.88908     1.00820   0.98527   0.00013   1.00012    -0.007
 4.49103e-02     0.85    0.83508     1.01651   0.96734  -0.00021   0.99979     0.002
 8.05955e-02     0.80    0.78272     1.02800   0.94968   0.00060   1.00061     0.014
 1.27490e-01     0.75    0.73202     1.04122   0.92662   0.00058   1.00045     0.031
 1.86433e-01     0.70    0.68232     1.05345   0.90690   0.00115   1.00055     0.023
 2.58544e-01     0.65    0.63473     1.06879   0.88102   0.00052   0.99902     0.034
 3.45307e-01     0.60    0.58957     1.08776   0.85703   0.00335   0.99975     0.043
 4.48676e-01     0.55    0.54585     1.10746   0.83181   0.00885   1.00364     0.044
 5.71254e-01     0.50    0.50255     1.12568   0.80907   0.01234   1.00170     0.061
 7.16556e-01     0.45    0.46057     1.14555   0.78497   0.01597   0.99578     0.060
 8.89431e-01     0.40    0.42166     1.17202   0.75962   0.03294   1.00208     0.078
 1.09678e+00     0.35    0.38170     1.19553   0.73687   0.04847   1.00575     0.083
 1.34884e+00     0.30    0.34283     1.22263   0.71263   0.07203   1.00056     0.084
 1.66164e+00     0.25    0.30590     1.25724   0.69093   0.12627   1.00315     0.091
 2.06230e+00     0.20    0.26884     1.29692   0.66697   0.19759   1.00722     0.095
 2.60208e+00     0.15    0.22911     1.33940   0.63987   0.28980   0.99454     0.090
 3.39729e+00     0.10    0.18882     1.40066   0.61397   0.49412   1.04363     0.122
 4.82364e+00     0.05    0.14140     1.49138   0.58624   0.94810   1.06229     0.187
