# system = H2O-gto
# path = examples/gwfn/H2O/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 3.25595e-02
# optimized DTVMC = 1.36713e-01
# kinetic energy = 75.76673 +/- 0.08652
# kinetic energy KEI = 76.79972 +/- 0.08424
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.18165e-03     0.95    0.92583     1.43745   1.05539   0.00337   0.99972    67.923
 4.74529e-03     0.90    0.85694     1.48750   1.13130   0.03368   0.99968    25.778
 1.07480e-02     0.85    0.79643     1.56442   1.18414   0.11981   1.00577    17.147
 1.92882e-02     0.80    0.74315     1.64984   1.23026   0.28673   0.99961    13.211
 3.05111e-02     0.75    0.69530     1.73604   1.25493   0.54020   0.99388    10.261
 4.46173e-02     0.70    0.65179     1.82206   1.26242   0.88233   0.99672     8.924
 6.18751e-02     0.65    0.61242     1.91132   1.23115   1.27657   1.01167     7.315
 8.26391e-02     0.60    0.57490     1.99527   1.19293   1.73640   0.97347     6.501
 1.07378e-01     0.55    0.53961     2.07955   1.13898   2.23292   0.97744     5.768
 1.36713e-01     0.50    0.50668     2.16759   1.06287   2.71291   0.95965     5.175
 1.71487e-01     0.45    0.47428     2.25290   0.99433   3.24007   0.97045     4.639
 2.12859e-01     0.40    0.44268     2.33951   0.91692   3.75094   0.97678     4.263
 2.62483e-01     0.35    0.41120     2.42685   0.82176   4.14355   1.01500     3.873
 3.22807e-01     0.30    0.38171     2.52835   0.74643   4.65074   0.95511     3.526
 3.97667e-01     0.25    0.34962     2.62453   0.66153   5.04595   0.92815     3.250
 4.93551e-01     0.20    0.31705     2.73329   0.58157   5.46010   0.97320     2.959
 6.22733e-01     0.15    0.28470     2.87141   0.49471   5.76680   0.86346     2.702
 8.13044e-01     0.10    0.24639     3.02807   0.40920   6.07063   0.92727     2.383
 1.15440e+00     0.05    0.19868     3.25405   0.31402   6.31696   0.87605     2.011
