# system = HF-gto
# path = examples/gwfn/HF/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 2.48012e-02
# optimized DTVMC = 9.73345e-02
# kinetic energy = 99.88261 +/- 0.24704
# kinetic energy KEI = 99.96396 +/- 0.10871
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 8.41289e-04     0.95    0.92685     1.41198   1.05089   0.00291   0.99987    48.860
 3.37847e-03     0.90    0.86017     1.47474   1.11039   0.02969   0.99954    29.343
 7.65216e-03     0.85    0.79855     1.53193   1.18749   0.11031   0.99703    20.893
 1.37325e-02     0.80    0.74478     1.60895   1.22355   0.25847   0.99879    14.134
 2.17228e-02     0.75    0.69615     1.68685   1.25864   0.49472   0.98462    11.372
 3.17658e-02     0.70    0.65353     1.77471   1.23939   0.78736   0.99673     9.148
 4.40527e-02     0.65    0.61235     1.85131   1.22458   1.15924   0.99137     7.740
 5.88359e-02     0.60    0.57508     1.93390   1.17783   1.56351   0.99319     6.761
 7.64487e-02     0.55    0.53940     2.01363   1.12670   2.01483   0.96743     5.867
 9.73345e-02     0.50    0.50526     2.09299   1.04220   2.41627   0.98898     5.224
 1.22092e-01     0.45    0.47390     2.18074   0.97941   2.91094   0.98465     4.661
 1.51548e-01     0.40    0.44164     2.26135   0.89215   3.31179   1.01148     4.267
 1.86878e-01     0.35    0.41050     2.34764   0.81849   3.77524   0.95636     3.883
 2.29826e-01     0.30    0.37891     2.43514   0.72561   4.08547   0.89341     3.485
 2.83123e-01     0.25    0.34907     2.53974   0.63738   4.38700   0.96341     3.268
 3.51389e-01     0.20    0.31739     2.64985   0.55784   4.71752   0.95834     2.973
 4.43362e-01     0.15    0.28348     2.77478   0.48065   5.04941   0.89276     2.654
 5.78856e-01     0.10    0.24457     2.92231   0.39754   5.29366   0.89221     2.355
 8.21887e-01     0.05    0.19872     3.15281   0.30957   5.61368   0.95085     1.930
