# system = He-gto
# path = examples/gwfn/He/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 2
# approximate DTVMC = 1.81920e-01
# optimized DTVMC = 2.09330e-01
# kinetic energy = 2.86173 +/- 0.00029
# kinetic energy KEI = 2.85806 +/- 0.00459
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.80930e-03     0.95    0.94313     1.00861   0.98921   0.00010   1.00009     0.050
 7.26582e-03     0.90    0.88664     1.01153   0.98096  -0.00001   0.99997     0.036
 1.64569e-02     0.85    0.83210     1.02361   0.95682  -0.00006   0.99994     0.039
 2.95334e-02     0.80    0.77959     1.03880   0.93129   0.00067   1.00057     0.018
 4.67175e-02     0.75    0.72774     1.05030   0.90491  -0.00068   0.99936     0.008
 6.83164e-02     0.70    0.67893     1.06823   0.87538  -0.00048   0.99928    -0.006
 9.47409e-02     0.65    0.63219     1.08785   0.84789   0.00102   1.00056    -0.002
 1.26534e-01     0.60    0.58669     1.10691   0.81557  -0.00097   0.99853    -0.000
 1.64413e-01     0.55    0.54359     1.12931   0.78469  -0.00055   0.99810    -0.005
 2.09330e-01     0.50    0.50084     1.14977   0.75766   0.00080   0.99935     0.002
 2.62574e-01     0.45    0.46168     1.17765   0.72344   0.00179   0.99972    -0.002
 3.25923e-01     0.40    0.42162     1.20179   0.69661   0.00374   0.99814     0.006
 4.01904e-01     0.35    0.38360     1.23088   0.66885   0.01219   1.00109     0.013
 4.94270e-01     0.30    0.34617     1.26248   0.63779   0.01702   1.00729     0.018
 6.08892e-01     0.25    0.30883     1.29711   0.60960   0.03443   1.00347     0.025
 7.55707e-01     0.20    0.27211     1.33907   0.57981   0.06358   1.00670     0.033
 9.53506e-01     0.15    0.23482     1.39042   0.54889   0.11507   1.02740     0.049
 1.24490e+00     0.10    0.19411     1.45357   0.51763   0.21958   0.96097     0.103
 1.76757e+00     0.05    0.14731     1.55205   0.48379   0.50933   1.09780     0.288
