# system = He-sto
# path = examples/stowfn/He/HF/QZ4P/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 2
# approximate DTVMC = 1.81920e-01
# optimized DTVMC = 2.12626e-01
# kinetic energy = 2.85668 +/- 0.00029
# kinetic energy KEI = 2.86760 +/- 0.00460
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.83778e-03     0.95    0.94275     1.00895   0.98793   0.00010   1.00010     0.057
 7.38020e-03     0.90    0.88595     1.01230   0.97852  -0.00013   0.99986     0.044
 1.67160e-02     0.85    0.83121     1.02522   0.95553   0.00034   1.00036     0.039
 2.99983e-02     0.80    0.77798     1.03825   0.92989  -0.00006   0.99979     0.014
 4.74530e-02     0.75    0.72688     1.05411   0.90139   0.00030   1.00017     0.010
 6.93919e-02     0.70    0.67682     1.06820   0.87594  -0.00010   1.00008     0.004
 9.62324e-02     0.65    0.62956     1.08702   0.84688   0.00032   1.00079     0.003
 1.28526e-01     0.60    0.58391     1.10638   0.81642  -0.00055   0.99894    -0.011
 1.67001e-01     0.55    0.54079     1.12931   0.78467  -0.00045   0.99908    -0.003
 2.12626e-01     0.50    0.49782     1.14962   0.75586  -0.00099   0.99927     0.007
 2.66708e-01     0.45    0.45839     1.17716   0.72357   0.00117   1.00268     0.001
 3.31054e-01     0.40    0.41751     1.19948   0.69598  -0.00230   0.99626     0.000
 4.08231e-01     0.35    0.38129     1.23344   0.66549   0.01133   0.99876     0.002
 5.02051e-01     0.30    0.34296     1.26282   0.63624   0.01553   0.99136     0.014
 6.18478e-01     0.25    0.30655     1.29996   0.60546   0.03089   1.00295     0.022
 7.67604e-01     0.20    0.27053     1.34395   0.57524   0.05990   0.99536     0.018
 9.68517e-01     0.15    0.23222     1.39232   0.54427   0.10643   1.02194     0.044
 1.26450e+00     0.10    0.19124     1.45425   0.51211   0.19652   0.98471     0.065
 1.79540e+00     0.05    0.14605     1.55797   0.47418   0.45606   1.01390     0.160
