# system = Kr-gto
# path = examples/gwfn/Kr/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 36
# approximate DTVMC = 3.25483e-03
# optimized DTVMC = 2.24267e-02
# kinetic energy = 2751.09989 +/- 11.12581
# kinetic energy KEI = 2757.18449 +/- 1.85837
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.93840e-04     0.95    0.92028     1.71993   1.27054   0.02040   1.00048   105.758
 7.78427e-04     0.90    0.85108     1.83730   1.37403   0.13991   0.99879    43.322
 1.76312e-03     0.85    0.79062     1.95519   1.32802   0.35818   0.99738    25.879
 3.16407e-03     0.80    0.73791     2.07820   1.21591   0.63178   1.01134    17.925
 5.00510e-03     0.75    0.69112     2.20123   1.06485   0.89951   0.98579    13.327
 7.31911e-03     0.70    0.64907     2.32423   0.94500   1.19187   1.00271    10.483
 1.01501e-02     0.65    0.61117     2.44986   0.83374   1.47110   0.97141     8.471
 1.35563e-02     0.60    0.57528     2.56907   0.75175   1.79389   1.06137     7.015
 1.76144e-02     0.55    0.54221     2.69212   0.66213   2.04980   0.98239     5.898
 2.24267e-02     0.50    0.51209     2.82402   0.59361   2.35019   0.98779     5.024
 2.81310e-02     0.45    0.48331     2.95803   0.52332   2.58818   0.95046     4.269
 3.49179e-02     0.40    0.45643     3.10194   0.47022   2.89745   1.01167     3.780
 4.30582e-02     0.35    0.42856     3.24048   0.40985   3.06380   0.99295     3.180
 5.29538e-02     0.30    0.40344     3.40503   0.37098   3.43909   0.95979     2.912
 6.52340e-02     0.25    0.37665     3.57154   0.32071   3.59745   0.94157     2.459
 8.09630e-02     0.20    0.35055     3.76822   0.27957   3.86118   0.94987     2.097
 1.02154e-01     0.15    0.32305     3.99850   0.23883   4.09822   0.93945     1.690
 1.33373e-01     0.10    0.29153     4.28052   0.20206   4.48515   0.92839     1.385
 1.89370e-01     0.05    0.25366     4.71295   0.16208   5.06737   1.04517     1.025
