# system = Kr-sto
# path = examples/stowfn/Kr/HF/QZ4P/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 36
# approximate DTVMC = 3.25483e-03
# optimized DTVMC = 2.24328e-02
# kinetic energy = 2776.14341 +/- 33.44510
# kinetic energy KEI = 2731.06077 +/- 1.84925
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.93893e-04     0.95    0.92116     1.74730   1.21348   0.01919   0.99938   102.559
 7.78638e-04     0.90    0.85067     1.84070   1.36658   0.14065   0.99819    43.918
 1.76360e-03     0.85    0.79079     1.96596   1.32059   0.36018   0.99735    25.845
 3.16493e-03     0.80    0.73737     2.08349   1.21334   0.63828   0.99133    17.882
 5.00646e-03     0.75    0.69141     2.21374   1.07058   0.92034   1.02071    13.513
 7.32110e-03     0.70    0.64913     2.33558   0.94365   1.20397   0.99901    10.442
 1.01529e-02     0.65    0.61040     2.45602   0.82941   1.47808   1.03058     8.500
 1.35600e-02     0.60    0.57627     2.58775   0.74104   1.78508   1.01424     7.125
 1.76192e-02     0.55    0.54315     2.71099   0.65549   2.05095   0.99017     5.821
 2.24328e-02     0.50    0.51241     2.83939   0.58807   2.35423   0.98874     5.116
 2.81387e-02     0.45    0.48294     2.96930   0.52299   2.61997   0.94334     4.357
 3.49273e-02     0.40    0.45513     3.10752   0.46132   2.84873   1.07261     3.804
 4.30699e-02     0.35    0.42923     3.26038   0.40722   3.08261   0.94188     3.217
 5.29682e-02     0.30    0.40259     3.41481   0.35686   3.28358   1.01834     2.743
 6.52517e-02     0.25    0.37697     3.59068   0.31658   3.57942   0.92891     2.462
 8.09850e-02     0.20    0.35081     3.78792   0.27955   3.91851   0.97929     2.156
 1.02182e-01     0.15    0.32280     4.01512   0.23904   4.16237   1.01512     1.732
 1.33409e-01     0.10    0.29166     4.30171   0.20028   4.48732   0.93399     1.371
 1.89421e-01     0.05    0.25415     4.73993   0.15728   4.90322   0.93509     0.961
