# system = Li+-gto
# path = examples/gwfn/Li⁺/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 2
# approximate DTVMC = 6.93648e-02
# optimized DTVMC = 8.18784e-02
# kinetic energy = 7.23579 +/- 0.00045
# kinetic energy KEI = 7.21758 +/- 0.01122
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 7.07698e-04     0.95    0.94319     1.00413   0.99478   0.00005   1.00004     0.022
 2.84199e-03     0.90    0.88714     1.01045   0.98158  -0.00001   0.99998     0.018
 6.43704e-03     0.85    0.83263     1.02122   0.96040   0.00003   0.99999     0.003
 1.15518e-02     0.80    0.77953     1.03282   0.93841   0.00005   0.99995     0.006
 1.82733e-02     0.75    0.72846     1.04737   0.91226   0.00030   1.00046     0.005
 2.67216e-02     0.70    0.67877     1.06177   0.88733  -0.00018   0.99998     0.000
 3.70574e-02     0.65    0.63201     1.08127   0.85730   0.00077   1.00078    -0.002
 4.94931e-02     0.60    0.58646     1.10012   0.83018   0.00155   1.00059     0.011
 6.43091e-02     0.55    0.54306     1.12161   0.80173   0.00378   1.00144     0.012
 8.18784e-02     0.50    0.49985     1.14078   0.77464   0.00406   1.00066     0.019
 1.02705e-01     0.45    0.45994     1.16660   0.74589   0.00942   0.99894     0.024
 1.27483e-01     0.40    0.41922     1.18900   0.71818   0.01123   1.00221     0.033
 1.57203e-01     0.35    0.38186     1.21963   0.69139   0.02594   1.00344     0.035
 1.93331e-01     0.30    0.34429     1.25064   0.66417   0.04326   1.00307     0.049
 2.38165e-01     0.25    0.30596     1.28231   0.63682   0.06206   0.99715     0.032
 2.95591e-01     0.20    0.26886     1.32269   0.60800   0.10095   0.99044     0.044
 3.72959e-01     0.15    0.23121     1.37212   0.58005   0.17840   0.99816     0.055
 4.86938e-01     0.10    0.19161     1.43745   0.55054   0.32230   1.00539     0.055
 6.91377e-01     0.05    0.14457     1.53305   0.51258   0.61681   0.99419     0.059
