# system = N-gto
# path = examples/gwfn/N/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 7
# approximate DTVMC = 3.19243e-02
# optimized DTVMC = 1.18357e-01
# kinetic energy = 54.58341 +/- 0.23768
# kinetic energy KEI = 54.26310 +/- 0.06778
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.02299e-03     0.95    0.92661     1.37132   1.01412   0.00190   1.00005    37.072
 4.10816e-03     0.90    0.85820     1.41665   1.04127   0.01825   1.00009    18.488
 9.30489e-03     0.85    0.79622     1.47515   1.10250   0.07475   0.99828    15.805
 1.66984e-02     0.80    0.74213     1.55094   1.12533   0.18334   1.00032    10.232
 2.64145e-02     0.75    0.69322     1.62698   1.16860   0.37159   1.00087     8.679
 3.86267e-02     0.70    0.64895     1.70495   1.19239   0.63691   0.99818     7.030
 5.35674e-02     0.65    0.60983     1.79103   1.19913   0.98455   1.01140     5.834
 7.15435e-02     0.60    0.57357     1.87686   1.18395   1.39554   1.00264     4.982
 9.29603e-02     0.55    0.53947     1.96222   1.16449   1.88744   0.98517     4.319
 1.18357e-01     0.50    0.50908     2.05766   1.13718   2.46484   1.03745     3.857
 1.48462e-01     0.45    0.47777     2.14344   1.09417   3.06934   0.99052     3.382
 1.84280e-01     0.40    0.44787     2.23364   1.03711   3.70435   0.93717     3.086
 2.27240e-01     0.35    0.41929     2.33083   0.98270   4.42905   0.93428     2.805
 2.79464e-01     0.30    0.39022     2.42970   0.91896   5.17636   0.92313     2.539
 3.44273e-01     0.25    0.36020     2.53243   0.84902   5.96331   0.92264     2.341
 4.27283e-01     0.20    0.33070     2.65381   0.76257   6.68969   0.89537     2.187
 5.39121e-01     0.15    0.29895     2.79159   0.67750   7.53576   0.86384     2.044
 7.03879e-01     0.10    0.26216     2.95479   0.58235   8.45326   0.98085     1.963
 9.99401e-01     0.05    0.21539     3.18667   0.46995   9.61368   0.81059     1.760
