# system = N-pp
# path = examples/ppotential_HF/N/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 5
# approximate DTVMC = 1.53334e-01
# optimized DTVMC = 3.23938e-01
# kinetic energy = 6.69395 +/- 0.03493
# kinetic energy KEI = 6.72749 +/- 0.00465
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 2.79989e-03     0.95    0.94240     1.19835   1.19284   0.00302   1.00002   292.474
 1.12439e-02     0.90    0.88557     1.20573   1.23576   0.01657   0.99981   101.314
 2.54671e-02     0.85    0.83041     1.21925   1.25187   0.04568   1.00009    56.562
 4.57029e-02     0.80    0.77663     1.23300   1.19311   0.07969   0.99998    35.438
 7.22954e-02     0.75    0.72587     1.25484   1.13526   0.12301   0.99973    23.836
 1.05720e-01     0.70    0.67701     1.27727   1.07080   0.16932   0.99753    16.378
 1.46612e-01     0.65    0.63036     1.30199   1.00161   0.21534   1.00568    12.618
 1.95811e-01     0.60    0.58444     1.32396   0.92792   0.25248   1.00043     9.112
 2.54428e-01     0.55    0.54192     1.35327   0.87068   0.30123   1.00822     7.068
 3.23938e-01     0.50    0.50040     1.38209   0.82201   0.35725   0.98990     5.919
 4.06334e-01     0.45    0.46005     1.41192   0.76831   0.40453   0.99486     4.470
 5.04365e-01     0.40    0.42188     1.44690   0.71978   0.45762   0.99735     3.654
 6.21947e-01     0.35    0.38348     1.48074   0.67451   0.51296   0.99254     2.949
 7.64882e-01     0.30    0.34548     1.51697   0.63338   0.57738   0.98563     2.332
 9.42261e-01     0.25    0.30888     1.56096   0.59344   0.65671   0.99430     1.817
 1.16946e+00     0.20    0.27258     1.61289   0.55016   0.74323   0.97438     1.488
 1.47555e+00     0.15    0.23443     1.67170   0.51090   0.86791   0.94938     1.062
 1.92649e+00     0.10    0.19320     1.74551   0.46555   1.02085   1.00690     0.774
 2.73532e+00     0.05    0.14689     1.86562   0.41733   1.37910   0.99849     0.517
