# system = N-sto
# path = examples/stowfn/N/HF/QZ4P/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 7
# approximate DTVMC = 3.19243e-02
# optimized DTVMC = 1.17658e-01
# kinetic energy = 54.03053 +/- 0.05217
# kinetic energy KEI = 53.96024 +/- 0.06287
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.01695e-03     0.95    0.92621     1.35293   1.05705   0.00227   1.00016    44.928
 4.08389e-03     0.90    0.85763     1.39967   1.08353   0.01955   1.00026    22.920
 9.24992e-03     0.85    0.79739     1.47192   1.10095   0.07228   0.99913    14.480
 1.65998e-02     0.80    0.74272     1.54212   1.14661   0.18476   0.99786    10.966
 2.62585e-02     0.75    0.69432     1.62006   1.18236   0.36973   0.99392     8.487
 3.83985e-02     0.70    0.65004     1.69693   1.19491   0.62517   0.99754     7.175
 5.32509e-02     0.65    0.61065     1.78075   1.20254   0.96620   1.00474     5.816
 7.11208e-02     0.60    0.57475     1.86755   1.20047   1.39394   0.99292     5.079
 9.24111e-02     0.55    0.53947     1.94649   1.18717   1.89557   0.97832     4.361
 1.17658e-01     0.50    0.50784     2.03519   1.13943   2.40803   0.99764     3.770
 1.47585e-01     0.45    0.47817     2.12816   1.10362   3.04080   1.02764     3.433
 1.83191e-01     0.40    0.44786     2.21566   1.06781   3.76550   0.93635     3.045
 2.25898e-01     0.35    0.41951     2.31324   0.99523   4.40613   0.93309     2.791
 2.77813e-01     0.30    0.39097     2.41404   0.92140   5.09300   0.93980     2.587
 3.42239e-01     0.25    0.36189     2.52096   0.85088   5.87015   0.96499     2.442
 4.24759e-01     0.20    0.33178     2.63841   0.77622   6.71709   0.91253     2.380
 5.35936e-01     0.15    0.29921     2.77073   0.69730   7.67303   0.93840     2.270
 6.99721e-01     0.10    0.26391     2.94184   0.60294   8.69266   0.90563     2.234
 9.93497e-01     0.05    0.21675     3.17050   0.49093  10.01476   0.80806     2.218
