# system = NH3-gto
# path = examples/gwfn/NH3/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 4.40768e-02
# optimized DTVMC = 1.88070e-01
# kinetic energy = 56.21644 +/- 0.16750
# kinetic energy KEI = 55.11975 +/- 0.05658
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.62554e-03     0.95    0.92482     1.43256   1.03583   0.00264   0.99972    34.268
 6.52789e-03     0.90    0.85743     1.50807   1.08654   0.03110   1.00012    21.135
 1.47855e-02     0.85    0.79680     1.58348   1.15375   0.11699   0.99671    16.214
 2.65339e-02     0.80    0.74293     1.66535   1.20626   0.28474   1.00154    12.469
 4.19728e-02     0.75    0.69581     1.75699   1.24098   0.54711   0.99976     9.995
 6.13781e-02     0.70    0.65269     1.84595   1.25476   0.90016   0.98804     8.324
 8.51189e-02     0.65    0.61208     1.92910   1.24485   1.33296   0.99899     7.378
 1.13683e-01     0.60    0.57430     2.01264   1.21199   1.82233   0.98859     6.364
 1.47715e-01     0.55    0.54092     2.10773   1.15934   2.35616   0.98521     5.742
 1.88070e-01     0.50    0.50671     2.19006   1.09408   2.89817   0.99139     5.112
 2.35907e-01     0.45    0.47412     2.27525   1.02550   3.47255   1.06267     4.663
 2.92821e-01     0.40    0.44219     2.36107   0.95293   4.05659   0.90769     4.241
 3.61086e-01     0.35    0.41150     2.45344   0.86249   4.54708   0.92194     3.907
 4.44071e-01     0.30    0.37961     2.54314   0.77318   5.00419   0.96929     3.615
 5.47052e-01     0.25    0.34876     2.64679   0.69185   5.50760   0.91568     3.281
 6.78956e-01     0.20    0.31576     2.75408   0.60612   5.93227   1.18277     3.012
 8.56666e-01     0.15    0.28147     2.88154   0.51776   6.29158   0.99200     2.705
 1.11847e+00     0.10    0.24274     3.03566   0.43691   6.82005   1.37473     2.407
 1.58806e+00     0.05    0.19547     3.26400   0.33738   7.18222   0.87657     1.986
