# system = Ne-gto
# path = examples/gwfn/Ne/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 1.93853e-02
# optimized DTVMC = 6.95409e-02
# kinetic energy = 128.12823 +/- 0.22811
# kinetic energy KEI = 125.16026 +/- 0.12399
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 6.01061e-04     0.95    0.92862     1.38550   1.07260   0.00319   1.00010    67.631
 2.41376e-03     0.90    0.86245     1.43549   1.13130   0.02693   0.99868    31.838
 5.46711e-03     0.85    0.80193     1.49210   1.20339   0.10052   1.00162    22.876
 9.81119e-03     0.80    0.74775     1.55912   1.23120   0.23010   1.01982    15.228
 1.55199e-02     0.75    0.69852     1.62823   1.24821   0.42853   0.99316    11.490
 2.26952e-02     0.70    0.65352     1.69893   1.24604   0.69610   0.99295     9.429
 3.14736e-02     0.65    0.61322     1.77664   1.20781   1.00263   0.99813     8.062
 4.20355e-02     0.60    0.57525     1.85225   1.17440   1.37527   1.06474     6.912
 5.46190e-02     0.55    0.53942     1.92781   1.11072   1.74694   0.99697     6.023
 6.95409e-02     0.50    0.50542     2.00444   1.04007   2.13388   0.99142     5.342
 8.72290e-02     0.45    0.47148     2.07632   0.96101   2.50420   0.99986     4.718
 1.08274e-01     0.40    0.43998     2.15700   0.88036   2.87386   0.96270     4.301
 1.33515e-01     0.35    0.40824     2.23667   0.80939   3.28298   1.22725     3.928
 1.64200e-01     0.30    0.37745     2.32412   0.72136   3.57985   1.09012     3.597
 2.02278e-01     0.25    0.34613     2.41661   0.63591   3.84625   0.94426     3.252
 2.51051e-01     0.20    0.31470     2.52277   0.55763   4.13894   0.94219     2.947
 3.16761e-01     0.15    0.28050     2.63998   0.47803   4.38065   0.92640     2.582
 4.13566e-01     0.10    0.24309     2.78889   0.39837   4.62638   1.04794     2.199
 5.87200e-01     0.05    0.19674     3.00495   0.30832   4.83049   1.30187     1.828
