# system = Ne-pp
# path = examples/ppotential_HF/Ne/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 8
# approximate DTVMC = 6.45145e-02
# optimized DTVMC = 1.29144e-01
# kinetic energy = 27.62084 +/- 0.15383
# kinetic energy KEI = 27.91679 +/- 0.01528
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.11623e-03     0.95    0.94169     1.20018   1.23040   0.00307   0.99989   247.108
 4.48258e-03     0.90    0.88596     1.22670   1.26131   0.01940   1.00010   110.227
 1.01530e-02     0.85    0.83027     1.23523   1.24659   0.04784   0.99912    54.030
 1.82204e-02     0.80    0.77596     1.24639   1.23786   0.09286   0.99850    34.609
 2.88220e-02     0.75    0.72542     1.27020   1.15400   0.13739   0.99685    23.518
 4.21472e-02     0.70    0.67633     1.29223   1.08010   0.18753   0.99738    17.514
 5.84496e-02     0.65    0.63084     1.32203   0.99638   0.23421   1.00849    13.182
 7.80641e-02     0.60    0.58564     1.34676   0.92876   0.28351   0.99940     9.769
 1.01433e-01     0.55    0.54288     1.37543   0.86788   0.33607   0.99316     7.911
 1.29144e-01     0.50    0.50275     1.40910   0.80084   0.37935   1.01197     6.033
 1.61993e-01     0.45    0.46277     1.44035   0.75065   0.43672   0.98570     5.433
 2.01075e-01     0.40    0.42477     1.47629   0.69681   0.48391   0.99163     4.211
 2.47951e-01     0.35    0.38769     1.51479   0.65009   0.54175   1.00843     3.488
 3.04935e-01     0.30    0.35146     1.55734   0.60011   0.58746   1.01268     2.788
 3.75651e-01     0.25    0.31599     1.60619   0.55530   0.64941   1.00971     2.321
 4.66227e-01     0.20    0.27938     1.65873   0.50914   0.70220   0.97784     1.840
 5.88257e-01     0.15    0.24215     1.72314   0.46215   0.76421   1.00692     1.420
 7.68032e-01     0.10    0.20415     1.81360   0.41245   0.86232   0.94099     1.098
 1.09049e+00     0.05    0.15733     1.94051   0.35425   1.00057   0.95291     0.775
