# system = Ne-sto
# path = examples/stowfn/Ne/HF/QZ4P/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 10
# approximate DTVMC = 1.93853e-02
# optimized DTVMC = 6.92188e-02
# kinetic energy = 127.84884 +/- 0.22273
# kinetic energy KEI = 127.77318 +/- 0.13383
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 5.98277e-04     0.95    0.92801     1.36900   1.08946   0.00313   0.99988    81.693
 2.40257e-03     0.90    0.86252     1.43133   1.12942   0.02681   0.99933    33.297
 5.44178e-03     0.85    0.80291     1.49460   1.17370   0.09401   0.99871    19.534
 9.76574e-03     0.80    0.74902     1.56194   1.21693   0.22389   1.00062    15.019
 1.54480e-02     0.75    0.69960     1.62879   1.24715   0.42688   1.00083    11.870
 2.25901e-02     0.70    0.65529     1.70242   1.24240   0.68954   1.01433     9.524
 3.13278e-02     0.65    0.61431     1.77607   1.22245   1.01410   0.99319     8.137
 4.18407e-02     0.60    0.57598     1.84946   1.16729   1.35115   0.98466     6.869
 5.43659e-02     0.55    0.54039     1.92582   1.10553   1.72320   1.01910     6.159
 6.92188e-02     0.50    0.50653     2.00283   1.04408   2.12930   0.96544     5.424
 8.68249e-02     0.45    0.47217     2.07246   0.96276   2.48705   1.08163     4.660
 1.07772e-01     0.40    0.44064     2.15275   0.87590   2.82982   0.99378     4.410
 1.32897e-01     0.35    0.40954     2.23522   0.80600   3.23908   0.97916     3.968
 1.63439e-01     0.30    0.37796     2.31870   0.71124   3.47552   0.97644     3.580
 2.01341e-01     0.25    0.34741     2.41476   0.63722   3.82604   0.97657     3.239
 2.49888e-01     0.20    0.31504     2.51591   0.55833   4.10479   1.00487     2.929
 3.15294e-01     0.15    0.28021     2.62940   0.47538   4.29582   1.04603     2.568
 4.11649e-01     0.10    0.24362     2.78246   0.39840   4.58839   1.01425     2.303
 5.84479e-01     0.05    0.19703     2.99669   0.31288   4.90213   0.96753     1.914
