# system = O-pp
# path = examples/ppotential_HF/O/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 6
# approximate DTVMC = 1.10018e-01
# optimized DTVMC = 2.23227e-01
# kinetic energy = 11.54607 +/- 0.06079
# kinetic energy KEI = 11.58555 +/- 0.00739
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 1.92941e-03     0.95    0.94230     1.19049   1.17611   0.00241   0.99966   227.632
 7.74817e-03     0.90    0.88572     1.20154   1.23596   0.01663   1.00113   110.600
 1.75494e-02     0.85    0.83086     1.21670   1.22173   0.04280   0.99959    57.227
 3.14940e-02     0.80    0.77692     1.22878   1.20740   0.08178   0.99927    36.367
 4.98189e-02     0.75    0.72611     1.25001   1.11913   0.11894   1.01415    23.613
 7.28517e-02     0.70    0.67562     1.26543   1.07969   0.16976   1.00107    16.401
 1.01030e-01     0.65    0.62858     1.28910   1.01005   0.21693   0.99943    12.606
 1.34934e-01     0.60    0.58408     1.31638   0.93983   0.26106   0.98933     9.723
 1.75327e-01     0.55    0.54041     1.34181   0.88401   0.31242   1.00199     7.717
 2.23227e-01     0.50    0.49884     1.37050   0.82830   0.36312   0.99179     6.023
 2.80006e-01     0.45    0.45911     1.40225   0.77232   0.40889   1.00851     4.783
 3.47559e-01     0.40    0.41984     1.43371   0.72727   0.46954   0.99717     4.083
 4.28585e-01     0.35    0.38282     1.47165   0.67603   0.51987   1.00574     3.292
 5.27082e-01     0.30    0.34512     1.50863   0.63360   0.58213   0.98964     2.628
 6.49315e-01     0.25    0.30935     1.55504   0.58802   0.64508   0.97611     2.092
 8.05875e-01     0.20    0.27363     1.60871   0.54868   0.74828   0.99621     1.696
 1.01681e+00     0.15    0.23562     1.66797   0.50326   0.83860   0.95795     1.336
 1.32755e+00     0.10    0.19607     1.74842   0.45413   0.96700   0.97016     1.012
 1.88492e+00     0.05    0.14955     1.86897   0.39547   1.17853   1.24622     0.687
