# system = O3-gto
# path = examples/gwfn/O3/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 24
# approximate DTVMC = 2.49865e-02
# optimized DTVMC = 9.83523e-02
# kinetic energy = 224.10601 +/- 0.23954
# kinetic energy KEI = 226.29263 +/- 0.15604
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 8.50085e-04     0.95    0.92688     1.37288   1.02887   0.00169   0.99946    34.246
 3.41379e-03     0.90    0.85934     1.42478   1.08322   0.02208   0.99960    24.127
 7.73217e-03     0.85    0.79846     1.48823   1.12870   0.08292   0.99902    16.221
 1.38760e-02     0.80    0.74486     1.56427   1.17428   0.20749   1.00094    12.449
 2.19499e-02     0.75    0.69504     1.63320   1.20732   0.40275   1.00276     9.556
 3.20980e-02     0.70    0.65122     1.71269   1.23078   0.68536   0.99516     7.837
 4.45133e-02     0.65    0.61188     1.79696   1.21602   1.02307   0.99884     6.593
 5.94511e-02     0.60    0.57485     1.87849   1.19932   1.43913   1.02093     5.707
 7.72480e-02     0.55    0.53978     1.95890   1.17446   1.92616   1.00051     4.892
 9.83523e-02     0.50    0.50664     2.04083   1.12196   2.42335   1.01997     4.415
 1.23369e-01     0.45    0.47485     2.12409   1.06212   2.94841   0.95533     3.812
 1.53132e-01     0.40    0.44531     2.21566   0.99698   3.50963   0.95294     3.436
 1.88832e-01     0.35    0.41499     2.30379   0.91563   4.01527   0.95897     3.156
 2.32229e-01     0.30    0.38582     2.40139   0.83796   4.56030   0.91671     2.817
 2.86084e-01     0.25    0.35548     2.50154   0.76004   5.11489   0.87812     2.508
 3.55063e-01     0.20    0.32502     2.61641   0.67214   5.60402   0.98366     2.330
 4.47998e-01     0.15    0.29233     2.74683   0.57740   6.00727   1.16930     2.019
 5.84909e-01     0.10    0.25537     2.90583   0.48676   6.52716   0.94882     1.793
 8.30481e-01     0.05    0.21072     3.14662   0.38036   7.06461   0.88800     1.537
