# system = O3-sto
# path = examples/stowfn/O3/HF/QZ4P/CBCS/Slater
# method = EBES
# steps per point = 1000000
# Performing time-step optimization.
# electrons = 24
# approximate DTVMC = 2.49865e-02
# optimized DTVMC = 1.00760e-01
# kinetic energy = 223.03088 +/- 0.21525
# kinetic energy KEI = 223.23652 +/- 0.14276
#       dtvmc   target  acc_ratio  correction  sum_rule  gaussian  exp_mean  kurtosis
 8.70895e-04     0.95    0.92619     1.37331   1.05909   0.00240   0.99995    39.591
 3.49736e-03     0.90    0.85918     1.43706   1.08287   0.02325   0.99926    29.898
 7.92145e-03     0.85    0.79800     1.49919   1.12942   0.08579   1.00553    15.431
 1.42157e-02     0.80    0.74288     1.56689   1.18293   0.21539   0.99836    12.085
 2.24872e-02     0.75    0.69528     1.65046   1.21164   0.41836   1.00379     9.269
 3.28837e-02     0.70    0.65072     1.72670   1.22410   0.69814   1.00705     7.634
 4.56030e-02     0.65    0.61111     1.81053   1.22636   1.06367   1.00563     6.742
 6.09064e-02     0.60    0.57356     1.89042   1.20648   1.48729   0.98849     5.624
 7.91391e-02     0.55    0.54012     1.97962   1.16656   1.96108   0.98258     4.901
 1.00760e-01     0.50    0.50628     2.05896   1.13029   2.50871   0.97816     4.326
 1.26389e-01     0.45    0.47493     2.14515   1.06680   3.04569   0.96399     3.784
 1.56881e-01     0.40    0.44638     2.24247   0.98865   3.56631   0.93377     3.438
 1.93454e-01     0.35    0.41527     2.32760   0.92322   4.16363   0.93138     3.007
 2.37914e-01     0.30    0.38625     2.42698   0.83616   4.66560   0.93868     2.793
 2.93087e-01     0.25    0.35687     2.53320   0.75354   5.19682   0.99772     2.482
 3.63755e-01     0.20    0.32556     2.64482   0.66272   5.64314   1.01842     2.257
 4.58965e-01     0.15    0.29275     2.77600   0.57835   6.18310   0.96720     1.993
 5.99227e-01     0.10    0.25842     2.95294   0.48448   6.68605   0.91105     1.726
 8.50811e-01     0.05    0.21255     3.18997   0.37289   7.07125   0.87781     1.442
