# system = B-pp
# path = examples/ppotential_HF/B/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 3
# optimized step size = 0.82922
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.07709     0.95    0.94802    0.00187   433.18    127.52  1273.41     13.16   0.26866     100     1.823     3.60      53.38
   0.15449     0.90    0.89300    0.00705   154.86     27.27   364.78      7.07   0.18153      80     0.720     3.61      53.51
   0.23250     0.85    0.84134    0.01504    70.25      8.34   355.31      4.54   0.19537      46     0.381     3.61      52.93
   0.31147     0.80    0.78869    0.02522    31.83      2.55   344.12      2.19   0.21309      27     0.220     3.64      53.18
   0.39174     0.75    0.73691    0.03706    21.06      1.37   187.34      3.46   0.19363      20     0.172     3.63      54.59
   0.47371     0.70    0.68721    0.05035    17.66      1.06   120.46      2.32   0.19104      18     0.156     3.65      54.22
   0.55786     0.65    0.63813    0.06464    14.31      0.77   129.64      1.53   0.17793      15     0.138     3.61      53.63
   0.64470     0.60    0.58742    0.07916    11.70      0.57    88.64      1.73   0.17770      13     0.125     3.62      53.63
   0.73489     0.55    0.53737    0.09359     9.69      0.43    94.05      2.00   0.16865      12     0.114     3.59      53.58
   0.82922     0.50    0.49373    0.10900    10.66      0.50    81.17      2.95   0.16144      12     0.119     3.60      53.57
   0.92871     0.45    0.44382    0.12222     9.37      0.41    63.47      1.66   0.18098      11     0.112     3.62      53.08
   1.03469     0.40    0.40068    0.13619     9.69      0.43    68.98      1.65   0.20856      11     0.114     3.67      52.97
   1.14899     0.35    0.35563    0.14770     8.49      0.35    59.87      2.14   0.18726      10     0.106     3.58      52.94
   1.27420     0.30    0.31370    0.15853     8.28      0.34    59.99      1.90   0.22003      10     0.105     3.57      53.49
   1.41424     0.25    0.26524    0.16373    10.91      0.51    50.06      2.95   0.19515      12     0.119     3.60      53.59
   1.57555     0.20    0.22145    0.16793    12.60      0.64    62.00      1.80   0.14348      13     0.126     3.57      53.04
   1.76977     0.15    0.17699    0.16647    15.74      0.89    54.91      2.17   0.17284      15     0.141     3.57      53.62
   2.02219     0.10    0.13022    0.15603    26.50      1.94    66.62      3.19   0.16604      22     0.191     3.54      55.08
   2.40959     0.05    0.08150    0.13420    89.39     11.96   103.96      6.09   0.14186      55     0.461     3.56      57.43
