# system = B2H6-gto
# path = examples/gwfn/B2H6/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 16
# optimized step size = 0.11468
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.01066     0.95    0.95035    0.00004   647.20    232.86  7174.46    406.10  12.91433     100    62.877    92.11     427.95
   0.02137     0.90    0.89873    0.00014   239.30     52.37 11281.75      8.92  11.65459      73    23.961    91.32     424.71
   0.03216     0.85    0.84917    0.00029   205.76     41.75  8462.39     88.15   9.41588      66    20.773    91.21     424.17
   0.04308     0.80    0.80008    0.00049    81.13     10.35  2907.59     39.66  11.18465      35     8.911    91.33     426.01
   0.05418     0.75    0.75059    0.00073    66.76      7.72  3417.46      5.66  10.90354      31     7.536    91.68     425.64
   0.06552     0.70    0.70057    0.00100    62.49      7.00  2888.08      8.12  10.96415      30     7.126    91.70     429.82
   0.07715     0.65    0.65144    0.00129    60.96      6.74  1065.08     10.49  10.86510      29     7.022    92.39     430.29
   0.08916     0.60    0.60263    0.00159    40.76      3.69  2826.14     10.69   9.76625      22     4.972    91.94     427.85
   0.10164     0.55    0.55852    0.00191    44.18      4.16  1201.56      7.30   9.43579      23     5.311    91.82     428.19
   0.11468     0.50    0.50946    0.00222    25.90      1.87  1247.22      4.11  11.26650      16     3.452    91.86     428.06
   0.12844     0.45    0.45759    0.00250    23.33      1.60   688.76     11.46  10.97485      15     3.181    91.75     428.24
   0.14310     0.40    0.41577    0.00281    44.66      4.23  2931.09      8.30  13.62366      24     5.350    91.64     427.96
   0.15891     0.35    0.36395    0.00303    22.90      1.56   891.50      3.76  12.29180      15     3.134    91.66     428.67
   0.17622     0.30    0.32123    0.00328    28.78      2.19  1455.80      5.27  11.79611      17     3.753    91.89     429.87
   0.19559     0.25    0.26599    0.00334    28.68      2.18   777.12      5.12  10.99552      17     3.738    91.85     429.71
   0.21790     0.20    0.22591    0.00351    37.19      3.21   892.50      8.70   9.09281      21     4.601    91.72     429.73
   0.24476     0.15    0.17545    0.00344    49.45      4.93  1143.48      6.32  10.30019      25     5.877    92.51     432.79
   0.27967     0.10    0.12269    0.00312    61.67      6.86  2095.62     12.33  12.57157      28     7.030    91.68     433.39
   0.33325     0.05    0.07595    0.00273   351.28     93.14  1412.51     19.50  11.33328      95    34.547    91.42     436.53
