# system = CH4-gto
# path = examples/gwfn/CH4/HF/cc-pVQZ/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Performing time-step optimization.
# electrons = 10
# optimized step size = 0.13261
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.01233     0.95    0.94963    0.00005   478.31    147.97 10722.46   2380.87   7.38078     100    17.626    34.72     159.97
   0.02471     0.90    0.89955    0.00018   605.09    210.53  4210.63     62.75   8.33349     100    21.726    34.02     156.22
   0.03718     0.85    0.84982    0.00039    99.27     14.00  3512.98     15.40   7.92450      41     3.829    32.75     154.57
   0.04981     0.80    0.79765    0.00066   121.33     18.91  4204.58     25.15   7.79175      46     4.730    33.88     153.73
   0.06265     0.75    0.74620    0.00097    77.58      9.67  1725.57     16.55   8.28379      34     3.068    32.75     150.88
   0.07576     0.70    0.69833    0.00133    32.50      2.63  1247.51      6.47   8.03408      19     1.454    32.26     151.88
   0.08922     0.65    0.65126    0.00172    31.68      2.53  1460.87      9.57   9.08046      18     1.645    38.48     153.42
   0.10310     0.60    0.60092    0.00211    23.96      1.66  1440.53      2.72   8.74567      15     1.160    32.79     152.69
   0.11753     0.55    0.55477    0.00253    26.15      1.90   958.81      2.36   7.38872      16     1.288    34.37     152.81
   0.13261     0.50    0.50901    0.00295    21.49      1.42  1096.07      4.51   8.34884      14     1.093    33.66     155.18
   0.14852     0.45    0.45769    0.00332    13.93      0.74  1611.00      4.75  10.79948      11     0.804    33.75     158.91
   0.16547     0.40    0.41698    0.00375    19.55      1.23  1118.29      2.36   8.77096      13     1.053    34.87     159.91
   0.18375     0.35    0.37357    0.00413    22.32      1.50   824.15      4.09   8.77904      15     1.161    34.76     159.69
   0.20378     0.30    0.32697    0.00445    19.99      1.27   445.98      3.50   9.12889      13     1.080    35.37     159.15
   0.22617     0.25    0.28174    0.00471    14.26      0.77   464.66      2.28  15.08912      10     0.762    31.72     150.13
   0.25197     0.20    0.23633    0.00486    28.60      2.17  1274.85      3.78   7.56555      17     1.288    31.58     151.86
   0.28303     0.15    0.18993    0.00493    96.02     13.33  1358.72      6.39  29.63855      40     3.688    32.43     156.28
   0.32340     0.10    0.14036    0.00472    32.76      2.66   921.60      1.60   8.36274      18     1.469    32.30     164.10
   0.38535     0.05    0.09284    0.00437    59.67      6.53   751.19      9.23   6.96467      26     2.418    32.47     160.15
