# system = Ne-pp
# path = examples/ppotential_HF/Ne/HF/aug-cc-pVQZ-CDF/CBCS/Slater
# method = CBCS
# steps per point = 100000
# Non-local integration grids
# ===========================
# Ion type            :  1
# Non-local grid no.  :  4
# Lexact              :  5
# Number of points    :  12
# Performing time-step optimization.
# electrons = 8
# optimized step size = 0.18275
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy
   0.01699     0.95    0.94605    0.00009   934.38    403.99 10165.72     19.32   6.95070     100     8.276     7.64     118.39
   0.03405     0.90    0.89726    0.00035   178.93     33.86  3902.09     20.17   5.33442      90     1.727     7.57     120.87
   0.05124     0.85    0.84394    0.00074   191.78     37.57  3748.84      9.89   5.60651      94     1.841     7.63     119.49
   0.06864     0.80    0.78853    0.00123   116.13     17.71  1145.09      4.28   6.17941      68     1.222     7.64     124.34
   0.08634     0.75    0.73818    0.00182    56.89      6.08   645.03      3.67   6.26393      41     0.705     7.60     123.54
   0.10440     0.70    0.69093    0.00249    50.19      5.03  1014.89      2.66   6.35562      38     0.643     7.61     121.92
   0.12295     0.65    0.64373    0.00321    40.96      3.71   550.98      2.09   5.91812      33     0.554     7.58     119.43
   0.14209     0.60    0.58971    0.00393    34.06      2.82   754.32      1.68   5.98923      29     0.493     7.57     121.74
   0.16196     0.55    0.54301    0.00469    30.38      2.37   360.84      1.90   6.00490      27     0.462     7.68     121.27
   0.18275     0.50    0.50218    0.00552    23.97      1.66   339.04      1.97   6.80147      23     0.396     7.58     120.24
   0.20468     0.45    0.44486    0.00611    19.97      1.27   286.34      2.38   6.43353      20     0.358     7.56     122.08
   0.22804     0.40    0.40559    0.00691    19.81      1.26   308.16      1.83   6.22866      20     0.356     7.59     121.26
   0.25323     0.35    0.35833    0.00749    23.64      1.63   247.70      1.49   6.12800      22     0.395     7.58     122.21
   0.28082     0.30    0.31265    0.00803    23.64      1.63   347.60      2.70   6.82920      22     0.394     7.56     121.66
   0.31169     0.25    0.26894    0.00849    25.60      1.84   315.26      1.46   6.12751      24     0.411     7.55     120.67
   0.34724     0.20    0.23104    0.00903    19.37      1.22   347.70      2.39   6.00412      19     0.348     7.52     119.99
   0.39004     0.15    0.18372    0.00899    25.02      1.78   261.72      2.16   5.84186      23     0.403     7.53     120.31
   0.44567     0.10    0.14318    0.00912    39.54      3.52   334.16      2.10   5.67016      31     0.539     7.57     119.43
   0.53105     0.05    0.09392    0.00843    44.42      4.20   536.95      5.49   6.26655      32     0.578     7.52     121.38
