# system = Li+-gto
# path = examples/gwfn/Li⁺/HF/cc-pVQZ/CBCS/Slater
# method = EBES
# steps per point = 100000
# Performing time-step optimization.
# electrons = 2
# optimized step size = 0.45940
# step_size   target  acc_ratio  diffusion   corr_E  corr_err  corr_r2   corr_TD  variance  decorr  ms_indep  us_move  us_energy  move_frac
   0.04271     0.95    0.94490    0.00057   122.14     19.10  1157.75    879.79   1.29566      44     0.569     4.11      16.04    0.99689
   0.08559     0.90    0.89090    0.00213    28.98      2.21   290.36    186.10   1.38562      17     0.158     3.96      16.33    0.98838
   0.12881     0.85    0.83744    0.00451    16.29      0.94   188.10     94.39   1.34238      11     0.099     3.86      15.58    0.97274
   0.17256     0.80    0.78436    0.00748     8.46      0.35    91.94     57.99   1.61157       7     0.063     3.83      16.01    0.95367
   0.21703     0.75    0.73611    0.01100     6.66      0.25    67.35     41.26   1.25508       6     0.054     3.81      15.68    0.93089
   0.26245     0.70    0.68478    0.01478     5.11      0.17    49.93     30.80   1.44175       5     0.046     3.81      16.03    0.90109
   0.30906     0.65    0.63506    0.01875     4.39      0.13    41.59     27.93   1.42632       5     0.043     3.95      15.86    0.86736
   0.35718     0.60    0.59338    0.02310     4.44      0.14    53.34     23.80   1.20017       5     0.042     3.58      16.78    0.83437
   0.40714     0.55    0.54385    0.02701     3.71      0.10    31.98     19.92   1.35659       4     0.039     3.69      16.64    0.79105
   0.45940     0.50    0.49961    0.03109     3.51      0.10    28.71     19.12   1.22112       4     0.038     3.74      16.44    0.74990
   0.51452     0.45    0.46042    0.03549     3.82      0.11    22.53     17.55   1.28887       4     0.043     4.02      17.82    0.70799
   0.57324     0.40    0.41718    0.03901     4.72      0.15    23.29     15.85   1.29698       5     0.046     3.88      17.39    0.66083
   0.63656     0.35    0.37572    0.04244     5.33      0.18    21.95     19.84   1.47996       5     0.045     3.43      16.12    0.61193
   0.70593     0.30    0.33826    0.04546     5.42      0.18    24.22     22.20   1.47899       5     0.046     3.47      16.39    0.56251
   0.78352     0.25    0.29530    0.04784     7.47      0.29    20.55     22.81   1.11711       7     0.053     3.27      16.48    0.50421
   0.87288     0.20    0.25897    0.05014     7.59      0.30    17.79     25.38   1.21032       7     0.057     3.31      18.85    0.45058
   0.98048     0.15    0.21621    0.05069     9.78      0.44    21.15     35.70   1.18354       9     0.071     3.31      22.47    0.38558
   1.12033     0.10    0.17406    0.05056    15.12      0.84    24.32     43.55   1.10530      12     0.083     3.10      18.13    0.31781
   1.33496     0.05    0.12384    0.04616    30.82      2.43    34.46     84.54   1.34693      20     0.139     3.04      18.58    0.23227
